sk_casa,Nombre_Casa,URL,Pais_Origen,Tipo_Casa,Margen_Tipico,Liquidez
0,Bet365,bet365.com,Reino Unido,Minorista,5.52,Alta
1,Pinnacle,pinnacle.com,Curazao,Profesional,2.1,Muy Alta
