sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Flag_Outlier_Cuota,Temporada,Mes,Anio,source_id,load_timestamp
532,2021-12-05,Celta,Valencia,1,2,A,2.1,3.25,3.75,2.16,3.4,3.77,0.4762,0.3077,0.2667,1.0505,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
533,2021-12-05,Elche,Cadiz,3,1,H,2.05,3.1,4.2,2.02,3.36,4.36,0.4878,0.3226,0.2381,1.0485,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
534,2021-12-05,Levante,Osasuna,0,0,D,2.4,3.2,3.1,2.56,3.25,3.1,0.4167,0.3125,0.3226,1.0517,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
535,2021-12-05,Vallecano,Espanol,1,0,H,2.15,3.1,3.8,2.16,3.31,3.87,0.4651,0.3226,0.2632,1.0509,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
536,2021-12-06,Getafe,Ath Bilbao,0,0,D,3.5,3.0,2.3,3.54,3.11,2.39,0.2857,0.3333,0.4348,1.0538,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
537,2021-12-10,Mallorca,Celta,0,0,D,2.5,3.0,3.1,2.62,3.0,3.26,0.4,0.3333,0.3226,1.0559,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
538,2021-12-11,Alaves,Getafe,1,1,D,2.45,2.9,3.2,2.61,2.88,3.43,0.4082,0.3448,0.3125,1.0655,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
539,2021-12-11,Ath Bilbao,Sevilla,0,1,A,2.5,3.0,3.1,2.58,3.1,3.21,0.4,0.3333,0.3226,1.0559,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
540,2021-12-11,Espanol,Levante,4,3,H,2.05,3.3,3.8,2.07,3.43,4.02,0.4878,0.303,0.2632,1.054,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
541,2021-12-11,Valencia,Elche,2,1,H,1.75,3.5,5.0,1.79,3.54,5.44,0.5714,0.2857,0.2,1.0571,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
542,2021-12-12,Betis,Sociedad,4,0,H,2.25,3.3,3.3,2.36,3.35,3.35,0.4444,0.303,0.303,1.0505,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
543,2021-12-12,Osasuna,Barcelona,2,2,D,4.0,3.5,1.9,3.98,3.57,2.03,0.25,0.2857,0.5263,1.062,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
544,2021-12-12,Real Madrid,Ath Madrid,2,0,H,2.05,3.5,3.6,2.11,3.57,3.73,0.4878,0.2857,0.2778,1.0513,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
545,2021-12-12,Villarreal,Vallecano,2,0,H,1.72,3.8,4.75,1.78,3.94,4.8,0.5814,0.2632,0.2105,1.0551,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
546,2021-12-13,Cadiz,Granada,1,1,D,2.6,3.1,2.9,2.68,3.13,3.04,0.3846,0.3226,0.3448,1.052,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
547,2021-12-17,Celta,Espanol,3,1,H,1.95,3.4,4.0,1.99,3.52,4.23,0.5128,0.2941,0.25,1.0569,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
548,2021-12-18,Barcelona,Elche,3,2,H,1.3,5.5,10.0,1.36,5.25,10.02,0.7692,0.1818,0.1,1.051,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
549,2021-12-18,Sevilla,Ath Madrid,2,1,H,2.75,3.0,2.8,2.89,3.0,2.92,0.3636,0.3333,0.3571,1.0541,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
550,2021-12-18,Sociedad,Villarreal,1,3,A,2.15,3.3,3.5,2.31,3.24,3.57,0.4651,0.303,0.2857,1.0539,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
551,2021-12-18,Vallecano,Alaves,2,0,H,1.72,3.6,5.0,1.82,3.5,5.3,0.5814,0.2778,0.2,1.0592,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
552,2021-12-19,Ath Bilbao,Betis,3,2,H,2.15,3.25,3.5,2.29,3.29,3.54,0.4651,0.3077,0.2857,1.0585,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
553,2021-12-19,Getafe,Osasuna,1,0,H,2.4,2.9,3.4,2.53,2.95,3.48,0.4167,0.3448,0.2941,1.0556,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
554,2021-12-19,Granada,Mallorca,4,1,H,2.5,3.0,3.1,2.57,3.04,3.3,0.4,0.3333,0.3226,1.0559,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
555,2021-12-19,Real Madrid,Cadiz,0,0,D,1.2,7.5,11.0,1.24,6.82,12.54,0.8333,0.1333,0.0909,1.0576,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
556,2021-12-20,Levante,Valencia,3,4,A,2.7,3.2,2.75,2.79,3.38,2.72,0.3704,0.3125,0.3636,1.0465,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
557,2021-12-21,Sevilla,Barcelona,1,1,D,2.5,3.2,2.9,2.61,3.29,2.98,0.4,0.3125,0.3448,1.0573,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
558,2021-12-21,Villarreal,Alaves,5,2,H,1.33,5.0,9.5,1.37,5.34,9.3,0.7519,0.2,0.1053,1.0571,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
559,2021-12-22,Ath Bilbao,Real Madrid,1,2,A,3.4,3.5,2.1,3.49,3.59,2.19,0.2941,0.2857,0.4762,1.056,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
560,2021-12-22,Granada,Ath Madrid,2,1,H,6.0,3.7,1.61,6.81,3.82,1.62,0.1667,0.2703,0.6211,1.0581,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
561,2021-12-31,Valencia,Espanol,1,2,A,1.8,3.8,4.2,1.81,3.83,4.71,0.5556,0.2632,0.2381,1.0568,0,2021/2022,12,2021,football-data.co.uk,2026-05-22 12:09:26.222082
562,2022-01-02,Alaves,Sociedad,1,1,D,3.5,3.1,2.25,3.58,3.15,2.29,0.2857,0.3226,0.4444,1.0527,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
563,2022-01-02,Ath Madrid,Vallecano,2,0,H,1.36,4.5,9.5,1.38,4.72,9.96,0.7353,0.2222,0.1053,1.0628,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
564,2022-01-02,Betis,Celta,0,2,A,1.72,3.75,4.75,1.79,3.71,4.83,0.5814,0.2667,0.2105,1.0586,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
565,2022-01-02,Elche,Granada,0,0,D,2.5,3.1,3.0,2.58,3.09,3.12,0.4,0.3226,0.3333,1.0559,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
566,2022-01-02,Getafe,Real Madrid,1,0,H,5.5,3.75,1.65,5.88,3.71,1.68,0.1818,0.2667,0.6061,1.0545,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
567,2022-01-02,Mallorca,Barcelona,0,1,A,3.4,3.4,2.15,3.7,3.33,2.16,0.2941,0.2941,0.4651,1.0534,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
568,2022-01-03,Cadiz,Sevilla,0,1,A,4.75,3.3,1.85,5.06,3.32,1.86,0.2105,0.303,0.5405,1.0541,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
569,2022-01-03,Osasuna,Ath Bilbao,1,3,A,3.1,3.0,2.5,3.24,2.96,2.59,0.3226,0.3333,0.4,1.0559,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
570,2022-01-03,Villarreal,Levante,5,0,H,1.4,5.0,7.0,1.44,5.02,6.97,0.7143,0.2,0.1429,1.0571,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
571,2022-01-08,Granada,Barcelona,1,1,D,4.5,3.8,1.75,4.64,3.77,1.8,0.2222,0.2632,0.5714,1.0568,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
572,2022-01-08,Levante,Mallorca,2,0,H,2.2,3.25,3.4,2.22,3.3,3.58,0.4545,0.3077,0.2941,1.0564,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
573,2022-01-08,Real Madrid,Valencia,4,1,H,1.37,5.0,8.0,1.35,5.35,9.07,0.7299,0.2,0.125,1.0549,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
574,2022-01-08,Sociedad,Celta,1,0,H,1.83,3.3,4.75,1.88,3.43,4.68,0.5464,0.303,0.2105,1.06,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
575,2022-01-09,Alaves,Ath Bilbao,0,0,D,4.0,3.3,1.95,3.96,3.42,2.04,0.25,0.303,0.5128,1.0659,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
576,2022-01-09,Osasuna,Cadiz,2,0,H,1.75,3.3,5.75,1.75,3.3,6.13,0.5714,0.303,0.1739,1.0484,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
577,2022-01-09,Sevilla,Getafe,1,0,H,1.61,3.4,7.5,1.57,3.72,7.56,0.6211,0.2941,0.1333,1.0486,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
578,2022-01-09,Vallecano,Betis,1,1,D,2.5,3.4,2.8,2.57,3.51,2.79,0.4,0.2941,0.3571,1.0513,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
579,2022-01-09,Villarreal,Ath Madrid,2,2,D,2.8,3.2,2.62,2.87,3.2,2.69,0.3571,0.3125,0.3817,1.0513,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
580,2022-01-10,Espanol,Elche,1,2,A,1.9,3.25,4.5,1.88,3.31,4.97,0.5263,0.3077,0.2222,1.0562,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
581,2022-01-16,Elche,Villarreal,1,0,H,4.5,3.6,1.8,4.95,3.79,1.75,0.2222,0.2778,0.5556,1.0556,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
582,2022-01-18,Betis,Alaves,4,0,H,1.45,4.33,7.0,1.48,4.47,7.18,0.6897,0.2309,0.1429,1.0635,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
583,2022-01-18,Cadiz,Espanol,2,2,D,3.25,3.1,2.37,3.27,3.13,2.45,0.3077,0.3226,0.4219,1.0522,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
584,2022-01-19,Celta,Osasuna,2,0,H,1.85,3.5,4.33,1.88,3.42,4.75,0.5405,0.2857,0.2309,1.0572,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
585,2022-01-19,Valencia,Sevilla,1,1,D,3.3,3.25,2.25,3.23,3.17,2.45,0.303,0.3077,0.4444,1.0552,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
586,2022-01-20,Getafe,Granada,4,2,H,2.1,3.2,3.8,2.13,3.15,4.04,0.4762,0.3125,0.2632,1.0518,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
587,2022-01-21,Espanol,Betis,1,4,A,3.25,3.25,2.25,3.21,3.38,2.35,0.3077,0.3077,0.4444,1.0598,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
588,2022-01-22,Ath Madrid,Valencia,3,2,H,1.44,4.2,8.5,1.47,4.28,8.02,0.6944,0.2381,0.1176,1.0502,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
589,2022-01-22,Levante,Cadiz,0,2,A,1.8,3.5,5.0,1.76,3.77,4.93,0.5556,0.2857,0.2,1.0413,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
590,2022-01-22,Sevilla,Celta,2,2,D,1.75,3.5,5.25,1.79,3.58,5.05,0.5714,0.2857,0.1905,1.0476,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
591,2022-01-22,Villarreal,Mallorca,3,0,H,1.44,4.33,8.0,1.41,4.84,8.29,0.6944,0.2309,0.125,1.0504,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
592,2022-01-23,Alaves,Barcelona,0,1,A,6.0,4.0,1.57,5.85,4.46,1.56,0.1667,0.25,0.6369,1.0536,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
593,2022-01-23,Granada,Osasuna,0,2,A,2.5,3.2,3.0,2.62,3.0,3.14,0.4,0.3125,0.3333,1.0458,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
594,2022-01-23,Real Madrid,Elche,2,2,D,1.16,8.0,15.0,1.15,8.12,21.4,0.8621,0.125,0.0667,1.0537,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
595,2022-01-23,Sociedad,Getafe,0,0,D,1.66,3.5,6.0,1.66,3.42,7.07,0.6024,0.2857,0.1667,1.0548,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
596,2022-01-23,Vallecano,Ath Bilbao,0,1,A,2.75,3.0,2.8,2.96,2.8,2.96,0.3636,0.3333,0.3571,1.0541,0,2021/2022,1,2022,football-data.co.uk,2026-05-22 12:09:26.222082
597,2022-02-04,Getafe,Levante,3,0,H,1.95,3.1,4.5,2.08,3.11,4.52,0.5128,0.3226,0.2222,1.0576,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
598,2022-02-05,Celta,Vallecano,2,0,H,1.9,3.4,4.33,2.0,3.28,4.34,0.5263,0.2941,0.2309,1.0514,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
599,2022-02-05,Elche,Alaves,3,1,H,2.37,3.1,3.3,2.49,2.98,3.39,0.4219,0.3226,0.303,1.0476,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
600,2022-02-05,Mallorca,Cadiz,2,1,H,1.83,3.4,4.6,1.81,3.4,5.28,0.5464,0.2941,0.2174,1.058,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
601,2022-02-05,Osasuna,Sevilla,0,0,D,3.6,3.2,2.15,3.66,3.04,2.32,0.2778,0.3125,0.4651,1.0554,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
602,2022-02-06,Barcelona,Ath Madrid,4,2,H,2.25,3.4,3.2,2.36,3.35,3.22,0.4444,0.2941,0.3125,1.0511,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
603,2022-02-06,Betis,Villarreal,0,2,A,2.37,3.5,2.9,2.46,3.57,2.88,0.4219,0.2857,0.3448,1.0525,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
604,2022-02-06,Real Madrid,Granada,1,0,H,1.25,6.0,11.0,1.24,6.39,12.64,0.8,0.1667,0.0909,1.0576,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
605,2022-02-06,Valencia,Sociedad,0,0,D,2.87,3.2,2.6,2.93,3.27,2.59,0.3484,0.3125,0.3846,1.0455,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
606,2022-02-07,Ath Bilbao,Espanol,2,1,H,1.6,3.8,6.0,1.64,3.73,6.28,0.625,0.2632,0.1667,1.0548,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
607,2022-02-11,Sevilla,Elche,2,0,H,1.45,4.33,7.5,1.46,4.41,8.95,0.6897,0.2309,0.1333,1.0539,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
608,2022-02-12,Ath Madrid,Getafe,4,3,H,1.45,4.2,8.0,1.45,4.31,9.71,0.6897,0.2381,0.125,1.0528,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
609,2022-02-12,Cadiz,Celta,0,0,D,3.8,3.4,2.05,4.12,3.35,2.08,0.2632,0.2941,0.4878,1.0451,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
610,2022-02-12,Vallecano,Osasuna,0,3,A,2.15,3.25,3.5,2.22,3.22,3.81,0.4651,0.3077,0.2857,1.0585,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
611,2022-02-12,Villarreal,Real Madrid,0,0,D,2.5,3.5,2.7,2.66,3.55,2.74,0.4,0.2857,0.3704,1.0561,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
612,2022-02-13,Alaves,Valencia,2,1,H,2.8,3.2,2.6,2.92,3.33,2.64,0.3571,0.3125,0.3846,1.0543,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
613,2022-02-13,Espanol,Barcelona,2,2,D,5.0,3.6,1.75,4.86,3.97,1.76,0.2,0.2778,0.5714,1.0492,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
614,2022-02-13,Levante,Betis,2,4,A,3.4,3.6,2.1,3.39,3.87,2.13,0.2941,0.2778,0.4762,1.0481,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
615,2022-02-13,Sociedad,Granada,2,0,H,1.4,4.5,9.0,1.41,4.88,8.84,0.7143,0.2222,0.1111,1.0476,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
616,2022-02-14,Mallorca,Ath Bilbao,3,2,H,3.4,3.1,2.3,3.46,3.21,2.38,0.2941,0.3226,0.4348,1.0515,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
617,2022-02-16,Ath Madrid,Levante,0,1,A,1.33,5.25,9.0,1.32,5.48,11.51,0.7519,0.1905,0.1111,1.0535,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
618,2022-02-18,Elche,Vallecano,2,1,H,3.0,3.0,2.62,3.15,2.94,2.74,0.3333,0.3333,0.3817,1.0483,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
619,2022-02-19,Cadiz,Getafe,1,1,D,3.2,2.9,2.55,3.32,2.95,2.62,0.3125,0.3448,0.3922,1.0495,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
620,2022-02-19,Granada,Villarreal,1,4,A,4.0,3.4,1.95,4.32,3.57,1.95,0.25,0.2941,0.5128,1.0569,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
621,2022-02-19,Osasuna,Ath Madrid,0,3,A,3.9,3.25,2.05,3.97,3.36,2.11,0.2564,0.3077,0.4878,1.0519,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
622,2022-02-19,Real Madrid,Alaves,3,0,H,1.22,6.5,12.0,1.21,6.85,16.62,0.8197,0.1538,0.0833,1.0569,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
623,2022-02-20,Ath Bilbao,Sociedad,4,0,H,2.37,3.0,3.4,2.52,2.89,3.59,0.4219,0.3333,0.2941,1.0494,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
624,2022-02-20,Betis,Mallorca,2,1,H,1.6,4.0,5.75,1.56,4.17,6.81,0.625,0.25,0.1739,1.0489,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
625,2022-02-20,Espanol,Sevilla,1,1,D,3.4,3.3,2.2,3.67,3.27,2.25,0.2941,0.303,0.4545,1.0517,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
626,2022-02-20,Valencia,Barcelona,1,4,A,3.6,3.5,2.05,3.76,3.86,2.01,0.2778,0.2857,0.4878,1.0513,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
627,2022-02-21,Celta,Levante,1,1,D,1.6,3.8,6.0,1.63,4.35,5.47,0.625,0.2632,0.1667,1.0548,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
628,2022-02-25,Levante,Elche,3,0,H,2.05,3.4,3.75,2.11,3.28,4.1,0.4878,0.2941,0.2667,1.0486,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
629,2022-02-26,Ath Madrid,Celta,2,0,H,1.61,3.8,6.0,1.65,3.85,6.34,0.6211,0.2632,0.1667,1.0509,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
630,2022-02-26,Getafe,Alaves,2,2,D,1.95,3.0,4.75,1.95,3.14,5.2,0.5128,0.3333,0.2105,1.0567,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
631,2022-02-26,Mallorca,Valencia,0,1,A,2.4,3.1,3.1,2.48,3.17,3.29,0.4167,0.3226,0.3226,1.0618,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
632,2022-02-26,Vallecano,Real Madrid,0,1,A,5.0,3.8,1.66,5.33,4.21,1.67,0.2,0.2632,0.6024,1.0656,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
633,2022-02-27,Barcelona,Ath Bilbao,4,0,H,1.6,4.2,5.25,1.57,4.31,6.36,0.625,0.2381,0.1905,1.0536,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
634,2022-02-27,Sevilla,Betis,2,1,H,2.2,3.25,3.5,2.29,3.22,3.63,0.4545,0.3077,0.2857,1.048,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
635,2022-02-27,Sociedad,Osasuna,1,0,H,1.85,3.4,4.75,1.91,3.27,5.14,0.5405,0.2941,0.2105,1.0452,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
636,2022-02-27,Villarreal,Espanol,5,1,H,1.5,4.2,7.0,1.5,4.4,7.65,0.6667,0.2381,0.1429,1.0476,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
637,2022-02-28,Granada,Cadiz,0,0,D,2.0,3.3,4.0,2.02,3.4,4.27,0.5,0.303,0.25,1.053,0,2021/2022,2,2022,football-data.co.uk,2026-05-22 12:09:26.222082
638,2022-03-02,Mallorca,Sociedad,0,2,A,3.4,3.2,2.25,3.61,3.22,2.3,0.2941,0.3125,0.4444,1.0511,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
639,2022-03-04,Alaves,Sevilla,0,0,D,4.5,3.1,1.95,4.74,3.14,2.02,0.2222,0.3226,0.5128,1.0576,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
640,2022-03-05,Espanol,Getafe,2,0,H,2.15,3.0,3.6,2.31,3.09,3.75,0.4651,0.3333,0.2778,1.0762,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
641,2022-03-05,Osasuna,Villarreal,1,0,H,3.5,3.4,2.1,3.77,3.41,2.15,0.2857,0.2941,0.4762,1.056,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
642,2022-03-05,Real Madrid,Sociedad,4,1,H,1.6,4.2,5.25,1.64,4.21,5.65,0.625,0.2381,0.1905,1.0536,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
643,2022-03-05,Valencia,Granada,3,1,H,1.75,3.6,4.5,1.79,3.79,4.92,0.5714,0.2778,0.2222,1.0714,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
644,2022-03-06,Betis,Ath Madrid,1,3,A,3.0,3.2,2.37,3.28,3.25,2.44,0.3333,0.3125,0.4219,1.0678,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
645,2022-03-06,Cadiz,Vallecano,2,0,H,2.7,3.1,2.7,2.93,3.06,2.82,0.3704,0.3226,0.3704,1.0633,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
646,2022-03-06,Celta,Mallorca,4,3,H,1.75,3.4,5.25,1.76,3.51,5.82,0.5714,0.2941,0.1905,1.056,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
647,2022-03-06,Elche,Barcelona,1,2,A,7.5,4.33,1.4,8.27,4.81,1.43,0.1333,0.2309,0.7143,1.0786,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
648,2022-03-07,Ath Bilbao,Levante,3,1,H,1.57,4.0,5.5,1.58,4.19,6.53,0.6369,0.25,0.1818,1.0688,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
649,2022-03-11,Ath Madrid,Cadiz,2,1,H,1.36,4.6,9.5,1.39,4.62,11.13,0.7353,0.2174,0.1053,1.0579,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
650,2022-03-12,Getafe,Valencia,0,0,D,2.37,3.2,3.2,2.43,3.1,3.47,0.4219,0.3125,0.3125,1.0469,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
651,2022-03-12,Granada,Elche,0,1,A,2.25,3.2,3.4,2.33,3.21,3.56,0.4444,0.3125,0.2941,1.0511,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
652,2022-03-12,Levante,Espanol,1,1,D,2.3,3.3,3.2,2.36,3.5,3.2,0.4348,0.303,0.3125,1.0503,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
653,2022-03-12,Villarreal,Celta,1,0,H,1.65,4.2,4.75,1.68,4.25,5.18,0.6061,0.2381,0.2105,1.0547,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
654,2022-03-13,Barcelona,Osasuna,4,0,H,1.33,4.75,10.0,1.35,5.37,10.09,0.7519,0.2105,0.1,1.0624,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
655,2022-03-13,Betis,Ath Bilbao,1,0,H,2.3,3.3,3.2,2.47,3.21,3.28,0.4348,0.303,0.3125,1.0503,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
656,2022-03-13,Sociedad,Alaves,1,0,H,1.53,4.0,7.0,1.52,4.23,7.68,0.6536,0.25,0.1429,1.0465,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
657,2022-03-13,Vallecano,Sevilla,1,1,D,3.4,3.1,2.3,3.44,3.23,2.37,0.2941,0.3226,0.4348,1.0515,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
658,2022-03-14,Mallorca,Real Madrid,0,3,A,6.0,4.0,1.57,6.3,4.39,1.56,0.1667,0.25,0.6369,1.0536,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
659,2022-03-18,Ath Bilbao,Getafe,1,1,D,1.72,3.2,6.0,1.76,3.28,6.56,0.5814,0.3125,0.1667,1.0606,0,2021/2022,3,2022,football-data.co.uk,2026-05-22 12:09:26.222082
