sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Flag_Outlier_Cuota,Temporada,Mes,Anio,source_id,load_timestamp
106,2020-12-05,Levante,Getafe,3,0,H,2.9,3.1,2.55,2.99,3.18,2.68,0.3448,0.3226,0.3922,1.0596,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
107,2020-12-05,Sevilla,Real Madrid,0,1,A,2.5,3.5,2.7,2.59,3.64,2.77,0.4,0.2857,0.3704,1.0561,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
108,2020-12-06,Alaves,Sociedad,0,0,D,4.75,3.5,1.8,4.97,3.39,1.89,0.2105,0.2857,0.5556,1.0518,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
109,2020-12-06,Granada,Huesca,3,3,D,2.3,3.1,3.4,2.49,3.09,3.13,0.4348,0.3226,0.2941,1.0515,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
110,2020-12-06,Osasuna,Betis,0,2,A,2.62,3.3,2.7,2.75,3.38,2.76,0.3817,0.303,0.3704,1.0551,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
111,2020-12-06,Villarreal,Elche,0,0,D,1.3,5.5,9.5,1.35,5.41,8.85,0.7692,0.1818,0.1053,1.0563,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
112,2020-12-07,Eibar,Valencia,0,0,D,2.45,3.1,3.1,2.51,3.17,3.03,0.4082,0.3226,0.3226,1.0533,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
113,2020-12-11,Valladolid,Osasuna,3,2,H,2.5,3.1,3.0,2.6,3.02,3.27,0.4,0.3226,0.3333,1.0559,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
114,2020-12-12,Getafe,Sevilla,0,1,A,3.75,3.2,2.1,3.89,3.33,2.15,0.2667,0.3125,0.4762,1.0554,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
115,2020-12-12,Huesca,Alaves,1,0,H,2.2,3.2,3.5,2.24,3.32,3.63,0.4545,0.3125,0.2857,1.0528,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
116,2020-12-12,Real Madrid,Ath Madrid,2,0,H,2.3,3.3,3.1,2.4,3.4,3.22,0.4348,0.303,0.3226,1.0604,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
117,2020-12-12,Valencia,Ath Bilbao,2,2,D,3.25,3.1,2.35,3.38,3.22,2.4,0.3077,0.3226,0.4255,1.0558,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
118,2020-12-13,Barcelona,Levante,1,0,H,1.22,7.0,11.0,1.25,6.88,11.21,0.8197,0.1429,0.0909,1.0534,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
119,2020-12-13,Betis,Villarreal,1,1,D,3.1,3.5,2.25,3.18,3.62,2.31,0.3226,0.2857,0.4444,1.0527,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
120,2020-12-13,Elche,Granada,0,1,A,3.4,3.1,2.3,3.42,3.15,2.42,0.2941,0.3226,0.4348,1.0515,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
121,2020-12-13,Sociedad,Eibar,1,1,D,1.6,3.75,6.0,1.67,3.73,6.32,0.625,0.2667,0.1667,1.0583,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
122,2020-12-14,Celta,Cadiz,4,0,H,1.72,3.6,5.25,1.76,3.81,5.15,0.5814,0.2778,0.1905,1.0496,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
123,2020-12-15,Real Madrid,Ath Bilbao,3,1,H,1.53,4.33,5.75,1.57,4.2,6.68,0.6536,0.2309,0.1739,1.0585,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
124,2020-12-16,Barcelona,Sociedad,2,1,H,1.6,4.5,5.0,1.65,4.59,5.0,0.625,0.2222,0.2,1.0472,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
125,2020-12-18,Ath Bilbao,Huesca,2,0,H,1.9,3.3,4.33,1.95,3.38,4.62,0.5263,0.303,0.2309,1.0603,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
126,2020-12-19,Ath Madrid,Elche,3,1,H,1.2,6.0,19.0,1.22,6.25,18.61,0.8333,0.1667,0.0526,1.0526,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
