sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Temporada,Mes,Anio,source_id,load_timestamp
190,2021-01-24,Osasuna,Granada,3,1,H,2.5,3.1,3.0,2.58,3.08,3.22,0.4,0.3226,0.3333,1.0559,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
191,2021-01-24,Elche,Barcelona,0,2,A,8.0,5.25,1.36,8.32,5.12,1.36,0.125,0.1905,0.7353,1.0508,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
192,2021-01-24,Celta,Eibar,1,1,D,2.05,3.4,3.75,2.08,3.57,3.83,0.4878,0.2941,0.2667,1.0486,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
193,2021-01-24,Ath Madrid,Valencia,3,1,H,1.4,4.75,8.0,1.43,4.75,8.6,0.7143,0.2105,0.125,1.0498,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
194,2021-01-25,Ath Bilbao,Getafe,5,1,H,2.3,3.0,3.6,2.36,3.09,3.63,0.4348,0.3333,0.2778,1.0459,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
195,2021-01-29,Valladolid,Huesca,1,3,A,2.2,3.1,3.6,2.26,3.23,3.7,0.4545,0.3226,0.2778,1.0549,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
196,2021-01-30,Eibar,Sevilla,0,2,A,4.0,3.25,2.0,4.26,3.35,2.04,0.25,0.3077,0.5,1.0577,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
197,2021-01-30,Real Madrid,Levante,1,2,A,1.33,5.5,8.0,1.36,5.81,8.44,0.7519,0.1818,0.125,1.0587,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
198,2021-01-30,Valencia,Elche,1,0,H,1.66,3.75,5.5,1.67,3.79,6.13,0.6024,0.2667,0.1818,1.0509,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
199,2021-01-30,Villarreal,Sociedad,1,1,D,2.4,3.2,3.1,2.43,3.22,3.33,0.4167,0.3125,0.3226,1.0517,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
200,2021-01-31,Getafe,Alaves,0,0,D,1.9,3.2,4.5,2.01,3.2,4.66,0.5263,0.3125,0.2222,1.061,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
201,2021-01-31,Cadiz,Ath Madrid,2,4,A,9.0,4.0,1.44,9.96,3.88,1.5,0.1111,0.25,0.6944,1.0556,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
202,2021-01-31,Granada,Celta,0,0,D,2.7,3.3,2.62,2.8,3.34,2.74,0.3704,0.303,0.3817,1.0551,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
203,2021-01-31,Barcelona,Ath Bilbao,2,1,H,1.36,5.25,7.5,1.42,4.87,7.14,0.7353,0.1905,0.1333,1.0591,2020/2021,1,2021,football-data.co.uk,2026-05-11 11:53:34.057291
204,2021-02-01,Betis,Osasuna,1,0,H,1.8,3.6,4.33,1.93,3.49,4.6,0.5556,0.2778,0.2309,1.0643,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
205,2021-02-05,Alaves,Valladolid,1,0,H,2.6,3.0,3.0,2.67,3.09,3.09,0.3846,0.3333,0.3333,1.0513,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
206,2021-02-06,Levante,Granada,2,2,D,2.2,3.3,3.4,2.23,3.37,3.6,0.4545,0.303,0.2941,1.0517,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
207,2021-02-06,Huesca,Real Madrid,1,2,A,7.0,4.5,1.44,7.17,4.62,1.49,0.1429,0.2222,0.6944,1.0595,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
208,2021-02-06,Elche,Villarreal,2,2,D,6.5,3.8,1.53,6.76,3.95,1.6,0.1538,0.2632,0.6536,1.0706,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
209,2021-02-06,Sevilla,Getafe,3,0,H,1.72,3.6,4.75,1.72,3.66,5.91,0.5814,0.2778,0.2105,1.0697,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
210,2021-02-07,Sociedad,Cadiz,4,1,H,1.45,4.2,8.0,1.51,4.33,7.65,0.6897,0.2381,0.125,1.0528,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
211,2021-02-07,Ath Bilbao,Valencia,1,1,D,2.15,3.2,3.6,2.3,3.4,3.42,0.4651,0.3125,0.2778,1.0554,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
212,2021-02-07,Osasuna,Eibar,2,1,H,2.55,3.0,3.0,2.67,3.02,3.16,0.3922,0.3333,0.3333,1.0588,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
213,2021-02-07,Betis,Barcelona,2,3,A,5.75,4.6,1.5,6.05,4.63,1.55,0.1739,0.2174,0.6667,1.058,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
214,2021-02-08,Ath Madrid,Celta,2,2,D,1.6,3.6,6.5,1.6,3.61,6.48,0.625,0.2778,0.1538,1.0566,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
215,2021-02-09,Real Madrid,Getafe,2,0,H,1.53,4.0,6.5,1.55,4.17,7.09,0.6536,0.25,0.1538,1.0574,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
216,2021-02-12,Celta,Elche,3,1,H,1.45,4.2,8.0,1.49,4.22,8.37,0.6897,0.2381,0.125,1.0528,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
217,2021-02-13,Granada,Ath Madrid,1,2,A,5.0,3.3,1.8,5.46,3.34,1.85,0.2,0.303,0.5556,1.0586,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
218,2021-02-13,Sevilla,Huesca,1,0,H,1.5,3.9,7.5,1.55,4.02,7.57,0.6667,0.2564,0.1333,1.0564,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
219,2021-02-13,Eibar,Valladolid,1,1,D,1.95,3.3,4.2,2.0,3.44,4.29,0.5128,0.303,0.2381,1.0539,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
