sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Temporada,Mes,Anio,source_id,load_timestamp
8589934639,2021-09-20,Barcelona,Granada,1,1,D,1.28,5.75,10.0,1.29,5.96,12.35,0.7813,0.1739,0.1,1.0552,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934640,2021-09-21,Getafe,Ath Madrid,1,2,A,6.0,3.5,1.66,6.53,3.54,1.7,0.1667,0.2857,0.6024,1.0548,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934641,2021-09-21,Ath Bilbao,Vallecano,1,2,A,1.85,3.5,4.33,1.9,3.46,4.81,0.5405,0.2857,0.2309,1.0572,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934642,2021-09-21,Levante,Celta,0,2,A,2.6,3.4,2.7,2.7,3.46,2.76,0.3846,0.2941,0.3704,1.0491,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934643,2021-09-22,Espanol,Alaves,1,0,H,1.8,3.5,4.75,1.88,3.46,4.98,0.5556,0.2857,0.2105,1.0518,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934644,2021-09-22,Sevilla,Valencia,3,1,H,1.61,3.8,6.0,1.65,4.04,5.81,0.6211,0.2632,0.1667,1.0509,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934645,2021-09-22,Real Madrid,Mallorca,6,1,H,1.22,6.5,12.0,1.24,6.66,13.03,0.8197,0.1538,0.0833,1.0569,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934646,2021-09-22,Villarreal,Elche,4,1,H,1.5,4.2,6.5,1.51,4.33,7.71,0.6667,0.2381,0.1538,1.0586,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934647,2021-09-23,Granada,Sociedad,2,3,A,4.2,3.4,1.9,4.22,3.56,1.98,0.2381,0.2941,0.5263,1.0585,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934648,2021-09-23,Osasuna,Betis,1,3,A,2.37,3.25,3.0,2.37,3.38,3.28,0.4219,0.3077,0.3333,1.063,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934649,2021-09-23,Cadiz,Barcelona,0,0,D,6.0,4.33,1.5,6.38,4.48,1.55,0.1667,0.2309,0.6667,1.0643,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934650,2021-09-25,Alaves,Ath Madrid,1,0,H,7.5,4.0,1.5,7.51,3.99,1.56,0.1333,0.25,0.6667,1.05,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934651,2021-09-25,Valencia,Ath Bilbao,1,1,D,2.6,3.2,2.8,2.71,3.25,2.89,0.3846,0.3125,0.3571,1.0543,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934652,2021-09-25,Sevilla,Espanol,2,0,H,1.57,3.8,6.5,1.63,3.9,6.38,0.6369,0.2632,0.1538,1.0539,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934653,2021-09-25,Real Madrid,Villarreal,0,0,D,1.5,4.75,5.75,1.52,4.87,6.25,0.6667,0.2105,0.1739,1.0511,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934654,2021-09-26,Mallorca,Osasuna,2,3,A,2.7,3.2,2.75,2.85,3.21,2.79,0.3704,0.3125,0.3636,1.0465,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934655,2021-09-26,Barcelona,Levante,3,0,H,1.4,5.5,6.5,1.45,5.07,7.23,0.7143,0.1818,0.1538,1.05,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934656,2021-09-26,Sociedad,Elche,1,0,H,1.4,4.5,9.0,1.47,4.43,8.53,0.7143,0.2222,0.1111,1.0476,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934657,2021-09-26,Vallecano,Cadiz,3,1,H,1.6,3.8,6.0,1.68,3.82,6.02,0.625,0.2632,0.1667,1.0548,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934658,2021-09-26,Betis,Getafe,2,0,H,1.75,3.6,4.75,1.78,3.9,4.9,0.5714,0.2778,0.2105,1.0597,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934659,2021-09-27,Celta,Granada,1,0,H,1.61,4.0,5.5,1.65,4.19,5.54,0.6211,0.25,0.1818,1.0529,2021/2022,9,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934660,2021-10-01,Ath Bilbao,Alaves,1,0,H,1.53,3.75,7.5,1.59,3.89,7.16,0.6536,0.2667,0.1333,1.0536,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934661,2021-10-02,Osasuna,Vallecano,1,0,H,2.15,3.4,3.4,2.2,3.47,3.57,0.4651,0.2941,0.2941,1.0534,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934662,2021-10-02,Mallorca,Levante,1,0,H,2.1,3.2,3.4,2.22,3.51,3.49,0.4762,0.3125,0.2941,1.0828,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934663,2021-10-02,Cadiz,Valencia,0,0,D,3.4,3.0,2.3,3.45,3.08,2.46,0.2941,0.3333,0.4348,1.0622,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934664,2021-10-02,Ath Madrid,Barcelona,2,0,H,1.9,3.5,4.0,1.92,3.61,4.43,0.5263,0.2857,0.25,1.062,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934665,2021-10-03,Elche,Celta,1,0,H,3.3,3.2,2.3,3.52,3.17,2.37,0.303,0.3125,0.4348,1.0503,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934666,2021-10-03,Espanol,Real Madrid,2,1,H,5.0,4.0,1.66,5.15,4.15,1.69,0.2,0.25,0.6024,1.0524,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934667,2021-10-03,Getafe,Sociedad,1,1,D,3.6,3.1,2.2,3.77,3.17,2.26,0.2778,0.3226,0.4545,1.0549,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934668,2021-10-03,Villarreal,Betis,2,0,H,2.0,3.6,3.6,2.03,3.83,3.71,0.5,0.2778,0.2778,1.0556,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934669,2021-10-03,Granada,Sevilla,1,0,H,4.8,3.4,1.72,5.36,3.62,1.78,0.2083,0.2941,0.5814,1.0838,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934670,2021-10-16,Levante,Getafe,0,0,D,2.5,2.9,3.25,2.61,2.92,3.38,0.4,0.3448,0.3077,1.0525,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934671,2021-10-16,Sociedad,Mallorca,1,0,H,1.4,4.5,8.5,1.44,4.51,9.05,0.7143,0.2222,0.1176,1.0542,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934672,2021-10-17,Vallecano,Elche,2,1,H,1.8,3.5,4.75,1.84,3.73,4.7,0.5556,0.2857,0.2105,1.0518,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934673,2021-10-17,Celta,Sevilla,0,1,A,3.4,3.25,2.2,3.57,3.22,2.32,0.2941,0.3077,0.4545,1.0564,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934674,2021-10-17,Villarreal,Osasuna,1,2,A,1.66,3.75,5.25,1.67,4.07,5.55,0.6024,0.2667,0.1905,1.0596,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934675,2021-10-17,Barcelona,Valencia,3,1,H,1.5,4.33,6.5,1.56,4.29,6.66,0.6667,0.2309,0.1538,1.0515,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934676,2021-10-18,Alaves,Betis,0,1,A,3.5,3.3,2.15,3.62,3.46,2.19,0.2857,0.303,0.4651,1.0539,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934677,2021-10-18,Espanol,Cadiz,2,0,H,1.66,3.6,5.75,1.68,3.88,5.84,0.6024,0.2778,0.1739,1.0541,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934678,2021-10-22,Osasuna,Granada,1,1,D,1.72,3.5,5.25,1.81,3.57,5.25,0.5814,0.2857,0.1905,1.0576,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934679,2021-10-23,Valencia,Mallorca,2,2,D,1.66,3.8,5.25,1.7,3.99,5.35,0.6024,0.2632,0.1905,1.056,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934680,2021-10-23,Cadiz,Alaves,0,2,A,2.5,2.9,3.2,2.7,2.97,3.18,0.4,0.3448,0.3125,1.0573,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934681,2021-10-23,Elche,Espanol,2,2,D,2.7,3.0,2.87,2.82,3.0,2.99,0.3704,0.3333,0.3484,1.0521,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934682,2021-10-23,Ath Bilbao,Villarreal,2,1,H,2.45,3.0,3.2,2.52,3.24,3.16,0.4082,0.3333,0.3125,1.054,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934683,2021-10-24,Sevilla,Levante,5,3,H,1.44,4.2,8.0,1.46,4.65,8.09,0.6944,0.2381,0.125,1.0575,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934684,2021-10-24,Barcelona,Real Madrid,1,2,A,2.75,3.6,2.45,2.73,3.85,2.53,0.3636,0.2778,0.4082,1.0496,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934685,2021-10-24,Betis,Vallecano,3,2,H,1.83,3.75,4.2,1.83,3.84,4.6,0.5464,0.2667,0.2381,1.0512,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934686,2021-10-24,Ath Madrid,Sociedad,2,2,D,1.61,3.7,6.0,1.65,3.94,6.09,0.6211,0.2703,0.1667,1.0581,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934687,2021-10-25,Getafe,Celta,0,3,A,2.5,3.0,3.1,2.77,2.95,3.11,0.4,0.3333,0.3226,1.0559,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934688,2021-10-26,Alaves,Elche,1,0,H,2.3,3.0,3.5,2.4,3.04,3.61,0.4348,0.3333,0.2857,1.0538,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934689,2021-10-26,Espanol,Ath Bilbao,1,1,D,2.9,3.0,2.62,3.03,3.06,2.74,0.3448,0.3333,0.3817,1.0598,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934690,2021-10-26,Villarreal,Cadiz,3,3,D,1.3,5.5,9.5,1.33,5.59,10.83,0.7692,0.1818,0.1053,1.0563,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934691,2021-10-27,Mallorca,Sevilla,1,1,D,5.5,3.3,1.75,5.49,3.28,1.86,0.1818,0.303,0.5714,1.0563,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934692,2021-10-27,Vallecano,Barcelona,1,0,H,4.33,3.75,1.8,4.51,3.83,1.85,0.2309,0.2667,0.5556,1.0532,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934693,2021-10-27,Betis,Valencia,4,1,H,1.85,3.5,4.5,1.88,3.64,4.56,0.5405,0.2857,0.2222,1.0485,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934694,2021-10-27,Real Madrid,Osasuna,0,0,D,1.3,5.5,9.0,1.34,5.88,8.94,0.7692,0.1818,0.1111,1.0622,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934695,2021-10-28,Celta,Sociedad,0,2,A,2.87,3.4,2.45,2.82,3.48,2.63,0.3484,0.2941,0.4082,1.0507,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934696,2021-10-28,Granada,Getafe,1,1,D,2.6,2.8,3.25,2.67,2.88,3.34,0.3846,0.3571,0.3077,1.0495,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934697,2021-10-28,Levante,Ath Madrid,2,2,D,5.5,3.8,1.65,5.99,3.64,1.71,0.1818,0.2632,0.6061,1.051,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934698,2021-10-30,Elche,Real Madrid,1,2,A,7.5,4.5,1.44,7.96,4.62,1.46,0.1333,0.2222,0.6944,1.05,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934699,2021-10-30,Sevilla,Osasuna,2,0,H,1.53,4.0,7.0,1.52,4.41,7.05,0.6536,0.25,0.1429,1.0465,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934700,2021-10-30,Valencia,Villarreal,2,0,H,2.9,3.4,2.45,3.0,3.51,2.47,0.3448,0.2941,0.4082,1.0471,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934701,2021-10-30,Barcelona,Alaves,1,1,D,1.28,5.5,11.0,1.32,5.79,10.48,0.7813,0.1818,0.0909,1.054,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934702,2021-10-31,Cadiz,Mallorca,1,1,D,2.5,3.0,3.2,2.68,2.99,3.18,0.4,0.3333,0.3125,1.0458,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934703,2021-10-31,Ath Madrid,Betis,3,0,H,1.6,3.8,6.0,1.61,4.02,6.46,0.625,0.2632,0.1667,1.0548,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934704,2021-10-31,Getafe,Espanol,2,1,H,2.45,3.0,3.2,2.44,3.13,3.41,0.4082,0.3333,0.3125,1.054,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934705,2021-10-31,Sociedad,Ath Bilbao,1,1,D,2.1,3.2,3.8,2.19,3.17,3.99,0.4762,0.3125,0.2632,1.0518,2021/2022,10,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934706,2021-11-01,Vallecano,Celta,0,0,D,2.37,3.25,3.1,2.41,3.49,3.12,0.4219,0.3077,0.3226,1.0522,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934707,2021-11-01,Levante,Granada,0,3,A,1.95,3.4,4.0,2.05,3.49,4.03,0.5128,0.2941,0.25,1.0569,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934708,2021-11-05,Ath Bilbao,Cadiz,0,1,A,1.36,4.75,9.0,1.38,4.97,10.07,0.7353,0.2105,0.1111,1.0569,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934709,2021-11-06,Espanol,Granada,2,0,H,1.85,3.4,4.5,1.91,3.49,4.71,0.5405,0.2941,0.2222,1.0569,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934710,2021-11-06,Celta,Barcelona,3,3,D,3.3,3.6,2.1,3.43,3.72,2.17,0.303,0.2778,0.4762,1.057,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934711,2021-11-06,Alaves,Levante,2,1,H,2.5,3.0,3.2,2.51,3.09,3.33,0.4,0.3333,0.3125,1.0458,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934712,2021-11-06,Real Madrid,Vallecano,2,1,H,1.33,5.5,8.0,1.4,5.57,7.75,0.7519,0.1818,0.125,1.0587,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934713,2021-11-07,Villarreal,Getafe,1,0,H,1.5,4.0,7.0,1.53,4.27,7.29,0.6667,0.25,0.1429,1.0595,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934714,2021-11-07,Valencia,Ath Madrid,3,3,D,4.5,3.2,1.95,4.72,3.25,1.98,0.2222,0.3125,0.5128,1.0475,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934715,2021-11-07,Mallorca,Elche,2,2,D,2.05,3.0,4.33,2.09,3.14,4.43,0.4878,0.3333,0.2309,1.0521,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934716,2021-11-07,Osasuna,Sociedad,0,2,A,3.1,3.3,2.35,3.19,3.41,2.41,0.3226,0.303,0.4255,1.0511,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934717,2021-11-07,Betis,Sevilla,0,2,A,3.0,3.3,2.45,3.07,3.35,2.51,0.3333,0.303,0.4082,1.0445,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934718,2021-11-19,Levante,Ath Bilbao,0,0,D,3.5,3.3,2.15,3.61,3.29,2.27,0.2857,0.303,0.4651,1.0539,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934719,2021-11-20,Celta,Villarreal,1,1,D,2.75,3.3,2.55,2.86,3.32,2.69,0.3636,0.303,0.3922,1.0588,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934720,2021-11-20,Sevilla,Alaves,2,2,D,1.44,4.33,8.5,1.42,4.67,9.34,0.6944,0.2309,0.1176,1.043,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934721,2021-11-20,Ath Madrid,Osasuna,1,0,H,1.44,4.33,8.0,1.41,4.66,9.76,0.6944,0.2309,0.125,1.0504,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934722,2021-11-20,Barcelona,Espanol,1,0,H,1.36,5.25,7.5,1.39,5.19,8.96,0.7353,0.1905,0.1333,1.0591,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934723,2021-11-21,Getafe,Cadiz,4,0,H,2.0,3.1,4.33,2.04,3.19,4.55,0.5,0.3226,0.2309,1.0535,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934724,2021-11-21,Granada,Real Madrid,1,4,A,7.0,4.5,1.45,7.56,4.63,1.48,0.1429,0.2222,0.6897,1.0547,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934725,2021-11-21,Elche,Betis,0,3,A,3.6,3.4,2.1,3.59,3.43,2.21,0.2778,0.2941,0.4762,1.0481,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934726,2021-11-21,Sociedad,Valencia,0,0,D,1.72,3.8,4.75,1.74,4.03,4.97,0.5814,0.2632,0.2105,1.0551,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934727,2021-11-22,Vallecano,Mallorca,3,1,H,1.8,3.5,4.75,1.85,3.5,5.01,0.5556,0.2857,0.2105,1.0518,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934728,2021-11-26,Ath Bilbao,Granada,2,2,D,1.36,4.75,9.5,1.42,4.69,9.41,0.7353,0.2105,0.1053,1.0511,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934729,2021-11-27,Alaves,Celta,1,2,A,2.9,3.1,2.55,3.09,3.19,2.6,0.3448,0.3226,0.3922,1.0596,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934730,2021-11-27,Valencia,Vallecano,1,1,D,2.0,3.4,3.9,2.04,3.44,4.13,0.5,0.2941,0.2564,1.0505,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934731,2021-11-27,Mallorca,Getafe,0,0,D,2.3,2.9,3.75,2.36,2.98,3.8,0.4348,0.3448,0.2667,1.0463,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934732,2021-11-27,Villarreal,Barcelona,1,3,A,2.7,3.4,2.6,2.75,3.53,2.66,0.3704,0.2941,0.3846,1.0491,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934733,2021-11-28,Betis,Levante,3,1,H,1.66,4.2,4.75,1.68,4.41,4.98,0.6024,0.2381,0.2105,1.051,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934734,2021-11-28,Espanol,Sociedad,1,0,H,3.2,3.2,2.3,3.29,3.26,2.43,0.3125,0.3125,0.4348,1.0598,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934735,2021-11-28,Cadiz,Ath Madrid,1,4,A,8.0,3.8,1.5,8.13,4.1,1.52,0.125,0.2632,0.6667,1.0548,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934736,2021-11-28,Real Madrid,Sevilla,2,1,H,1.7,4.0,4.75,1.68,4.17,5.2,0.5882,0.25,0.2105,1.0488,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934737,2021-11-29,Osasuna,Elche,1,1,D,1.8,3.4,4.75,1.87,3.5,4.92,0.5556,0.2941,0.2105,1.0602,2021/2022,11,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934738,2021-12-01,Real Madrid,Ath Bilbao,1,0,H,1.44,4.75,7.0,,,,0.6944,0.2105,0.1429,1.0478,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934739,2021-12-03,Granada,Alaves,2,1,H,2.37,3.1,3.25,2.47,3.16,3.32,0.4219,0.3226,0.3077,1.0522,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934740,2021-12-04,Sevilla,Villarreal,1,0,H,2.0,3.3,4.0,2.05,3.41,4.13,0.5,0.303,0.25,1.053,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934741,2021-12-04,Barcelona,Betis,0,1,A,1.5,4.5,6.5,1.52,4.8,6.28,0.6667,0.2222,0.1538,1.0427,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934742,2021-12-04,Ath Madrid,Mallorca,1,2,A,1.3,5.25,11.0,1.33,5.34,11.81,0.7692,0.1905,0.0909,1.0506,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934743,2021-12-04,Sociedad,Real Madrid,0,2,A,3.3,3.3,2.25,3.31,3.58,2.27,0.303,0.303,0.4444,1.0505,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934744,2021-12-05,Vallecano,Espanol,1,0,H,2.15,3.1,3.8,2.16,3.31,3.87,0.4651,0.3226,0.2632,1.0509,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934745,2021-12-05,Elche,Cadiz,3,1,H,2.05,3.1,4.2,2.02,3.36,4.36,0.4878,0.3226,0.2381,1.0485,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934746,2021-12-05,Levante,Osasuna,0,0,D,2.4,3.2,3.1,2.56,3.25,3.1,0.4167,0.3125,0.3226,1.0517,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934747,2021-12-05,Celta,Valencia,1,2,A,2.1,3.25,3.75,2.16,3.4,3.77,0.4762,0.3077,0.2667,1.0505,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934748,2021-12-06,Getafe,Ath Bilbao,0,0,D,3.5,3.0,2.3,3.54,3.11,2.39,0.2857,0.3333,0.4348,1.0538,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934749,2021-12-10,Mallorca,Celta,0,0,D,2.5,3.0,3.1,2.62,3.0,3.26,0.4,0.3333,0.3226,1.0559,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934750,2021-12-11,Espanol,Levante,4,3,H,2.05,3.3,3.8,2.07,3.43,4.02,0.4878,0.303,0.2632,1.054,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934751,2021-12-11,Alaves,Getafe,1,1,D,2.45,2.9,3.2,2.61,2.88,3.43,0.4082,0.3448,0.3125,1.0655,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934752,2021-12-11,Valencia,Elche,2,1,H,1.75,3.5,5.0,1.79,3.54,5.44,0.5714,0.2857,0.2,1.0571,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934753,2021-12-11,Ath Bilbao,Sevilla,0,1,A,2.5,3.0,3.1,2.58,3.1,3.21,0.4,0.3333,0.3226,1.0559,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934754,2021-12-12,Villarreal,Vallecano,2,0,H,1.72,3.8,4.75,1.78,3.94,4.8,0.5814,0.2632,0.2105,1.0551,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934755,2021-12-12,Osasuna,Barcelona,2,2,D,4.0,3.5,1.9,3.98,3.57,2.03,0.25,0.2857,0.5263,1.062,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934756,2021-12-12,Betis,Sociedad,4,0,H,2.25,3.3,3.3,2.36,3.35,3.35,0.4444,0.303,0.303,1.0505,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934757,2021-12-12,Real Madrid,Ath Madrid,2,0,H,2.05,3.5,3.6,2.11,3.57,3.73,0.4878,0.2857,0.2778,1.0513,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934758,2021-12-13,Cadiz,Granada,1,1,D,2.6,3.1,2.9,2.68,3.13,3.04,0.3846,0.3226,0.3448,1.052,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934759,2021-12-17,Celta,Espanol,3,1,H,1.95,3.4,4.0,1.99,3.52,4.23,0.5128,0.2941,0.25,1.0569,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934760,2021-12-18,Vallecano,Alaves,2,0,H,1.72,3.6,5.0,1.82,3.5,5.3,0.5814,0.2778,0.2,1.0592,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934761,2021-12-18,Sociedad,Villarreal,1,3,A,2.15,3.3,3.5,2.31,3.24,3.57,0.4651,0.303,0.2857,1.0539,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934762,2021-12-18,Barcelona,Elche,3,2,H,1.3,5.5,10.0,1.36,5.25,10.02,0.7692,0.1818,0.1,1.051,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934763,2021-12-18,Sevilla,Ath Madrid,2,1,H,2.75,3.0,2.8,2.89,3.0,2.92,0.3636,0.3333,0.3571,1.0541,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934764,2021-12-19,Granada,Mallorca,4,1,H,2.5,3.0,3.1,2.57,3.04,3.3,0.4,0.3333,0.3226,1.0559,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
8589934765,2021-12-19,Ath Bilbao,Betis,3,2,H,2.15,3.25,3.5,2.29,3.29,3.54,0.4651,0.3077,0.2857,1.0585,2021/2022,12,2021,football-data.co.uk,2026-05-11 11:53:34.057291
